Date,Open,High,Low,Close,Volume
2024-05-20 15:06:00,4.965,4.97,4.9645,4.965,13453
2024-05-20 15:07:00,4.97,4.97,4.9632,4.965,4496
2024-05-20 15:08:00,4.965,4.97,4.9629,4.97,6264
2024-05-20 15:09:00,4.966,4.97,4.965,4.9688,3527
2024-05-20 15:10:00,4.96,4.98,4.96,4.9698,42079
2024-05-20 15:11:00,4.97,4.97,4.96,4.96,3276
2024-05-20 15:12:00,4.965,4.9653,4.96,4.965,12132
2024-05-20 15:13:00,4.965,4.97,4.965,4.965,1640
2024-05-20 15:14:00,4.97,4.97,4.965,4.97,1380
2024-05-20 15:15:00,4.965,4.965,4.96,4.96,1293
2024-05-20 15:16:00,4.965,4.97,4.96,4.965,2099
2024-05-20 15:17:00,4.96,4.97,4.96,4.96,6053
2024-05-20 15:18:00,4.96,4.9697,4.96,4.96,4690
2024-05-20 15:19:00,4.965,4.965,4.96,4.965,2380
2024-05-20 15:20:00,4.965,4.97,4.96,4.96,4672
2024-05-20 15:21:00,4.97,4.97,4.96,4.965,2743
2024-05-20 15:22:00,4.96,4.97,4.96,4.965,2864
2024-05-20 15:23:00,4.965,4.965,4.96,4.9607,2258
2024-05-20 15:24:00,4.96,4.97,4.96,4.965,2186
2024-05-20 15:25:00,4.965,4.97,4.96,4.965,12025
2024-05-20 15:26:00,4.965,4.97,4.96,4.96,1957
2024-05-20 15:27:00,4.9697,4.98,4.96,4.98,27265
2024-05-20 15:28:00,4.9799,4.98,4.97,4.975,13287
2024-05-20 15:29:00,4.975,4.98,4.97,4.97,4138
2024-05-20 15:30:00,4.975,4.98,4.97,4.975,4373
2024-05-20 15:31:00,4.975,4.9788,4.97,4.9788,1579
2024-05-20 15:32:00,4.975,4.978,4.975,4.975,637
2024-05-20 15:33:00,4.975,4.975,4.975,4.975,1418
2024-05-20 15:34:00,4.975,4.98,4.97,4.97,3105
2024-05-20 15:35:00,4.975,4.975,4.97,4.97,1634
2024-05-20 15:36:00,4.97,4.98,4.97,4.975,5389
2024-05-20 15:37:00,4.975,4.98,4.97,4.97,4831
2024-05-20 15:38:00,4.98,4.98,4.97,4.97,5255
2024-05-20 15:39:00,4.975,4.975,4.97,4.97,3172
2024-05-20 15:40:00,4.98,4.98,4.97,4.975,16404
2024-05-20 15:41:00,4.9759,4.9788,4.96,4.96,19968
2024-05-20 15:42:00,4.97,4.975,4.965,4.97,25252
2024-05-20 15:43:00,4.9761,4.9761,4.9761,4.9761,530
2024-05-20 15:44:00,4.9799,4.9799,4.9788,4.9788,780
2024-05-20 15:45:00,4.975,4.976,4.975,4.975,951
2024-05-20 15:46:00,4.975,4.975,4.97,4.97,3246
2024-05-20 15:47:00,4.975,4.9775,4.96,4.965,18555
2024-05-20 15:48:00,4.965,4.965,4.965,4.965,1927
2024-05-20 15:49:00,4.9601,4.965,4.96,4.965,1751
2024-05-20 15:50:00,4.965,4.97,4.965,4.965,3507
2024-05-20 15:51:00,4.97,4.97,4.965,4.97,1932
2024-05-20 15:52:00,4.969,4.97,4.965,4.97,11974
2024-05-20 15:53:00,4.965,4.97,4.95,4.955,55006
2024-05-20 15:54:00,4.955,4.96,4.95,4.96,8390
2024-05-20 15:55:00,4.9559,4.96,4.95,4.96,5299
2024-05-20 15:56:00,4.955,4.96,4.955,4.955,3204
2024-05-20 15:57:00,4.955,4.96,4.955,4.955,6861
2024-05-20 15:58:00,4.955,4.96,4.95,4.955,4722
2024-05-20 15:59:00,4.96,4.9665,4.955,4.96,31929
2024-05-20 16:00:00,4.965,4.965,4.96,4.96,4536
2024-05-20 16:01:00,4.965,4.9679,4.9639,4.965,2004
2024-05-20 16:02:00,4.97,4.97,4.965,4.965,4040
2024-05-20 16:03:00,4.965,4.9688,4.96,4.965,4170
2024-05-20 16:04:00,4.9688,4.9688,4.9647,4.965,4055
2024-05-20 16:05:00,4.97,4.97,4.96,4.965,3310
2024-05-20 16:06:00,4.9697,4.97,4.96,4.965,1494
2024-05-20 16:07:00,4.9688,4.97,4.96,4.96,3847
2024-05-20 16:08:00,4.9641,4.97,4.96,4.96,2868
2024-05-20 16:09:00,4.9693,4.97,4.96,4.97,3239
2024-05-20 16:10:00,4.9689,4.97,4.96,4.965,3776
2024-05-20 16:11:00,4.96,4.9697,4.96,4.965,14209
2024-05-20 16:12:00,4.965,4.97,4.96,4.9675,5915
2024-05-20 16:13:00,4.9689,4.97,4.955,4.955,18791
2024-05-20 16:14:00,4.9552,4.9552,4.95,4.955,7929
2024-05-20 16:15:00,4.95,4.955,4.95,4.95,3085
2024-05-20 16:16:00,4.955,4.9555,4.95,4.95,4008
2024-05-20 16:17:00,4.95,4.955,4.95,4.95,4001
2024-05-20 16:18:00,4.95,4.955,4.93,4.945,91123
2024-05-20 16:19:00,4.945,4.95,4.94,4.945,10240
2024-05-20 16:20:00,4.9464,4.95,4.945,4.9467,3578
2024-05-20 16:21:00,4.945,4.95,4.945,4.945,4991
2024-05-20 16:22:00,4.945,4.95,4.94,4.945,6230
2024-05-20 16:23:00,4.945,4.95,4.945,4.95,1919
2024-05-20 16:24:00,4.9464,4.95,4.94,4.945,2324
2024-05-20 16:25:00,4.9497,4.96,4.945,4.96,27664
2024-05-20 16:26:00,4.9565,4.96,4.95,4.96,3107
2024-05-20 16:27:00,4.955,4.96,4.955,4.955,3769
2024-05-20 16:28:00,4.96,4.96,4.955,4.96,1470
2024-05-20 16:29:00,4.96,4.96,4.96,4.96,709
2024-05-20 16:30:00,4.955,4.955,4.955,4.955,924
2024-05-20 16:31:00,4.955,4.956,4.95,4.955,1975
2024-05-20 16:32:00,4.96,4.96,4.9521,4.96,3632
2024-05-20 16:33:00,4.955,4.96,4.955,4.955,2940
2024-05-20 16:34:00,4.955,4.96,4.955,4.9553,1270
2024-05-20 16:35:00,4.955,4.97,4.955,4.97,29967
2024-05-20 16:36:00,4.9661,4.97,4.9625,4.97,3153
2024-05-20 16:37:00,4.9689,4.97,4.965,4.965,2561
2024-05-20 16:38:00,4.965,4.97,4.965,4.97,3942
2024-05-20 16:39:00,4.97,4.97,4.9601,4.965,1944
2024-05-20 16:40:00,4.965,4.967,4.965,4.967,2355
2024-05-20 16:41:00,4.965,4.97,4.965,4.97,1458
2024-05-20 16:42:00,4.965,4.97,4.96,4.965,7518
2024-05-20 16:43:00,4.965,4.97,4.965,4.965,1713
2024-05-20 16:44:00,4.965,4.97,4.96,4.965,1864
2024-05-20 16:45:00,4.965,4.97,4.9601,4.965,1983
2024-05-20 16:46:00,4.97,4.97,4.965,4.965,2270
2024-05-20 16:47:00,4.967,4.97,4.965,4.965,3558
2024-05-20 16:48:00,4.965,4.97,4.96,4.965,17576
2024-05-20 16:49:00,4.96,4.965,4.96,4.965,1452
2024-05-20 16:50:00,4.965,4.97,4.96,4.96,5267
2024-05-20 16:51:00,4.96,4.965,4.96,4.965,1077
2024-05-20 16:52:00,4.965,4.965,4.96,4.965,1582
2024-05-20 16:53:00,4.96,4.965,4.96,4.96,2393
2024-05-20 16:54:00,4.9634,4.965,4.96,4.965,3934
2024-05-20 16:55:00,4.96,4.965,4.96,4.9601,1817
2024-05-20 16:56:00,4.965,4.965,4.96,4.96,1303
2024-05-20 16:57:00,4.96,4.9618,4.96,4.96,10385
2024-05-20 16:58:00,4.96,4.9606,4.96,4.96,10261
2024-05-20 16:59:00,4.9674,4.97,4.96,4.96,2635
