Date,Open,High,Low,Close,Volume
2024-01-02 05:00:00,250.08,251.25,244.41,248.42,104654163.0
2024-01-03 05:00:00,244.98,245.68,236.32,238.45,121082599.0
2024-01-04 05:00:00,239.25,242.7,237.73,237.93,102618283.0
2024-01-05 05:00:00,236.86,240.1196,234.9001,237.49,92488939.0
2024-01-08 05:00:00,236.14,241.25,235.3,240.45,85163330.0
2024-01-09 05:00:00,238.11,238.9646,232.04,234.96,96701528.0
2024-01-10 05:00:00,235.1,235.5,231.29,233.94,91612402.0
2024-01-11 05:00:00,230.57,230.93,225.37,227.22,105871212.0
2024-01-12 05:00:00,220.08,225.34,217.1501,218.89,122915812.0
2024-01-16 05:00:00,215.1,223.49,212.18,219.91,114835186.0
2024-01-17 05:00:00,214.86,215.67,212.01,215.55,103130830.0
2024-01-18 05:00:00,216.88,217.45,208.74,211.88,108560656.0
2024-01-19 05:00:00,209.99,213.19,207.56,212.19,102120143.0
2024-01-22 05:00:00,212.26,217.8,206.27,208.8,117952527.0
2024-01-23 05:00:00,211.3,215.65,207.7516,209.14,106537446.0
2024-01-24 05:00:00,211.88,212.73,206.77,207.83,123285962.0
2024-01-25 05:00:00,189.7,193.0,180.06,182.63,197923887.0
2024-01-26 05:00:00,185.5,186.78,182.1,183.25,107307531.0
2024-01-29 05:00:00,185.63,191.48,183.67,190.93,124961148.0
2024-01-30 05:00:00,195.33,196.3593,190.61,191.59,109965827.0
2024-01-31 05:00:00,186.995,193.97,185.8459,187.29,103221430.0
2024-02-01 05:00:00,188.5,189.88,184.28,188.86,91843275.0
2024-02-02 05:00:00,185.04,188.69,182.0,187.91,110612672.0
2024-02-05 05:00:00,184.26,184.68,175.01,181.06,133945447.0
2024-02-06 05:00:00,177.21,186.49,177.11,185.1,122575954.0
2024-02-07 05:00:00,188.18,189.79,182.68,187.58,111535217.0
2024-02-08 05:00:00,189.0,191.6171,185.58,189.56,83034043.0
2024-02-09 05:00:00,190.18,194.12,189.48,193.57,84476347.0
2024-02-12 05:00:00,192.11,194.73,187.28,188.13,95431097.0
2024-02-13 05:00:00,183.99,187.26,182.1087,184.02,86759478.0
2024-02-14 05:00:00,185.3,188.89,183.35,188.71,81202987.0
2024-02-15 05:00:00,189.16,200.88,188.8595,200.45,120815962.0
2024-02-16 05:00:00,202.06,203.17,197.4,199.95,111346705.0
2024-02-20 05:00:00,196.13,198.6,189.13,193.76,104537762.0
2024-02-21 05:00:00,193.36,199.44,191.95,194.77,103844008.0
2024-02-22 05:00:00,194.0,198.32,191.36,197.41,92739461.0
2024-02-23 05:00:00,195.31,197.57,191.5,191.97,78841917.0
2024-02-26 05:00:00,192.29,201.78,192.0,199.4,111628616.0
2024-02-27 05:00:00,204.04,205.6,198.26,199.73,108606912.0
2024-02-28 05:00:00,200.42,205.3,198.44,202.04,99806173.0
2024-02-29 05:00:00,204.18,205.28,198.4463,201.88,85905374.0
2024-03-01 05:00:00,200.52,204.52,198.5,202.64,82243119.0
